Código,Município,Código TI,Território de Identidade,QtMédicosSUS,QtMédicosNãoSUS,QtEnfermeirosSUS,QtEnfermeirosNãoSUS,QtProfissionais,QtMédicos,QtEnfermeiros,QtSUS,QtNãoSUS,LogQtMédicosSUS,LogQtMédicosNãoSUS,LogQtEnfermeirosSUS,LogQtEnfermeirosNãoSUS,LogQtProfissionais,LogQtMédicos,LogQtEnfermeiros,LogQtSUS,LogQtNãoSUS
2908804,Contendas do Sincorá,13,Sertão Produtivo,3,0,4,0,7,3,4,7,0,"0,4771212547",-1,"0,6020599913",-1,"0,84509804","0,4771212547","0,6020599913","0,84509804",-1
2908903,Coração de Maria,19,Portal do Sertão,13,0,20,0,33,13,20,33,0,"1,1139433523",-1,"1,3010299957",-1,"1,5185139399","1,1139433523","1,3010299957","1,5185139399",-1
2909000,Cordeiros,20,Sudoeste Baiano,8,0,11,0,19,8,11,19,0,"0,903089987",-1,"1,0413926852",-1,"1,278753601","0,903089987","1,0413926852","1,278753601",-1
2909109,Coribe,23,Bacia do Rio Corrente,13,0,21,0,34,13,21,34,0,"1,1139433523",-1,"1,3222192947",-1,"1,531478917","1,1139433523","1,3222192947","1,531478917",-1
2909208,Coronel João Sá,17,Semiárido Nordeste II,8,0,10,0,18,8,10,18,0,"0,903089987",-1,1,-1,"1,2552725051","0,903089987",1,"1,2552725051",-1
2909307,Correntina,23,Bacia do Rio Corrente,8,0,18,1,27,8,19,26,1,"0,903089987",-1,"1,2552725051",0,"1,4313637642","0,903089987","1,278753601","1,414973348",0
2909406,Cotegipe,11,Bacia do Rio Grande,4,0,10,0,14,4,10,14,0,"0,6020599913",-1,1,-1,"1,1461280357","0,6020599913",1,"1,1461280357",-1
2909505,Cravolândia,9,Vale do Jiquiriçá,3,0,5,0,8,3,5,8,0,"0,4771212547",-1,"0,6989700043",-1,"0,903089987","0,4771212547","0,6989700043","0,903089987",-1
2909604,Crisópolis,18,Litoral Norte e Agreste Baiano,14,0,18,0,32,14,18,32,0,"1,1461280357",-1,"1,2552725051",-1,"1,5051499783","1,1461280357","1,2552725051","1,5051499783",-1
2909703,Cristópolis,11,Bacia do Rio Grande,6,0,14,0,20,6,14,20,0,"0,7781512504",-1,"1,1461280357",-1,"1,3010299957","0,7781512504","1,1461280357","1,3010299957",-1
2909802,Cruz das Almas,21,Recôncavo,55,42,54,5,156,97,59,109,47,"1,7403626895","1,6232492904","1,7323937598","0,6989700043","2,1931245984","1,9867717343","1,7708520116","2,0374264979","1,6720978579"
2909901,Curaçá,10,Sertão do São Francisco,15,0,22,0,37,15,22,37,0,"1,1760912591",-1,"1,3424226808",-1,"1,5682017241","1,1760912591","1,3424226808","1,5682017241",-1
2910008,Dário Meira,22,Médio Rio de Contas,0,0,10,0,10,0,10,10,0,-1,-1,1,-1,1,-1,1,1,-1
2910057,Dias D'Ávila,26,Metropolitano de Salvador,38,23,53,4,118,61,57,91,27,"1,5797835966","1,361727836","1,7242758696","0,6020599913","2,0718820073","1,785329835","1,7558748557","1,9590413923","1,4313637642"
2910107,Dom Basílio,13,Sertão Produtivo,8,0,10,0,18,8,10,18,0,"0,903089987",-1,1,-1,"1,2552725051","0,903089987",1,"1,2552725051",-1
2910206,Dom Macedo Costa,21,Recôncavo,3,0,5,0,8,3,5,8,0,"0,4771212547",-1,"0,6989700043",-1,"0,903089987","0,4771212547","0,6989700043","0,903089987",-1
2910305,Elísio Medrado,9,Vale do Jiquiriçá,2,0,8,0,10,2,8,10,0,"0,3010299957",-1,"0,903089987",-1,1,"0,3010299957","0,903089987",1,-1
2910404,Encruzilhada,20,Sudoeste Baiano,12,0,14,0,26,12,14,26,0,"1,079181246",-1,"1,1461280357",-1,"1,414973348","1,079181246","1,1461280357","1,414973348",-1
2910503,Entre Rios,18,Litoral Norte e Agreste Baiano,22,4,28,0,54,26,28,50,4,"1,3424226808","0,6020599913","1,4471580313",-1,"1,7323937598","1,414973348","1,4471580313","1,6989700043","0,6020599913"
2910602,Esplanada,18,Litoral Norte e Agreste Baiano,11,2,26,0,39,13,26,37,2,"1,0413926852","0,3010299957","1,414973348",-1,"1,591064607","1,1139433523","1,414973348","1,5682017241","0,3010299957"
2910701,Euclides da Cunha,17,Semiárido Nordeste II,34,4,53,1,92,38,54,87,5,"1,531478917","0,6020599913","1,7242758696",0,"1,9637878273","1,5797835966","1,7323937598","1,9395192526","0,6989700043"
2910727,Eunápolis,27,Costa do Descobrimento,131,47,137,10,325,178,147,268,57,"2,1172712957","1,6720978579","2,1367205672",1,"2,511883361","2,2504200023","2,1673173347","2,428134794","1,7558748557"
2910750,Fátima,17,Semiárido Nordeste II,6,1,19,0,26,7,19,25,1,"0,7781512504",0,"1,278753601",-1,"1,414973348","0,84509804","1,278753601","1,3979400087",0
2910776,Feira da Mata,2,Velho Chico,3,0,5,0,8,3,5,8,0,"0,4771212547",-1,"0,6989700043",-1,"0,903089987","0,4771212547","0,6989700043","0,903089987",-1
2910800,Feira de Santana,19,Portal do Sertão,890,133,865,36,1924,1023,901,1755,169,"2,9493900066","2,123851641","2,9370161075","1,5563025008","3,2842050677","3,0098756337","2,954724791","3,2442771208","2,2278867046"
2910859,Filadélfia,25,Piemonte Norte do Itapicuru,12,0,14,0,26,12,14,26,0,"1,079181246",-1,"1,1461280357",-1,"1,414973348","1,079181246","1,1461280357","1,414973348",-1
2910909,Firmino Alves,8,Médio Sudoeste da Bahia,2,0,2,0,4,2,2,4,0,"0,3010299957",-1,"0,3010299957",-1,"0,6020599913","0,3010299957","0,3010299957","0,6020599913",-1
2911006,Floresta Azul,5,Litoral Sul,4,0,9,0,13,4,9,13,0,"0,6020599913",-1,"0,9542425094",-1,"1,1139433523","0,6020599913","0,9542425094","1,1139433523",-1
2911105,Formosa do Rio Preto,11,Bacia do Rio Grande,4,0,18,0,22,4,18,22,0,"0,6020599913",-1,"1,2552725051",-1,"1,3424226808","0,6020599913","1,2552725051","1,3424226808",-1
2911204,Gandu,6,Baixo Sul,15,20,24,1,60,35,25,39,21,"1,1760912591","1,3010299957","1,3802112417",0,"1,7781512504","1,5440680444","1,3979400087","1,591064607","1,3222192947"
2911253,Gavião,15,Bacia do Jacuípe,1,0,5,0,6,1,5,6,0,0,-1,"0,6989700043",-1,"0,7781512504",0,"0,6989700043","0,7781512504",-1
2911303,Gentio do Ouro,1,Irecê,4,0,7,0,11,4,7,11,0,"0,6020599913",-1,"0,84509804",-1,"1,0413926852","0,6020599913","0,84509804","1,0413926852",-1
