country,year,pop,continent,lifeExp,gdpPercap
Manoel Vitorino,2007,2,Médio Rio de Contas,22,2920403
Mansidão,2007,0,Bacia do Rio Grande,11,2920452
Maracás,2007,3,Vale do Jiquiriçá,9,2920502
Maragogipe,2007,3,Recôncavo,21,2920601
Maraú,2007,4,Litoral Sul,5,2920700
Marcionílio Souza,2007,5,Chapada Diamantina,3,2920809
Mascote,2007,6,Litoral Sul,5,2920908
Mata de São João,2007,10,Metropolitano de Salvador,26,2921005
Matina,2007,3,Velho Chico,2,2921054
Medeiros Neto,2007,9,Extremo Sul,7,2921104
Miguel Calmon,2007,6,Piemonte da Diamantina,16,2921203
Milagres,2007,0,Vale do Jiquiriçá,9,2921302
Mirangaba,2007,4,Piemonte da Diamantina,16,2921401
Mirante,2007,4,Sudoeste Baiano,20,2921450
Monte Santo,2007,5,Sisal,4,2921500
Morpará,2007,2,Velho Chico,2,2921609
Morro do Chapéu,2007,5,Chapada Diamantina,3,2921708
Mortugaba,2007,3,Sudoeste Baiano,20,2921807
Mucugê,2007,4,Chapada Diamantina,3,2921906
Mucuri,2007,10,Extremo Sul,7,2922003
Mulungu do Morro,2007,0,Irecê,1,2922052
Mundo Novo,2007,6,Piemonte do Paraguaçu,14,2922102
Muniz Ferreira,2007,1,Recôncavo,21,2922201
Muquém do São Francisco,2007,2,Velho Chico,2,2922250
Muritiba,2007,5,Recôncavo,21,2922300
Mutuípe,2007,6,Vale do Jiquiriçá,9,2922409
Nazaré,2007,9,Recôncavo,21,2922508
Nilo Peçanha,2007,5,Baixo Sul,6,2922607
Nordestina,2007,4,Sisal,4,2922656
Nova Canaã,2007,4,Médio Sudoeste da Bahia,8,2922706
Nova Fátima,2007,3,Bacia do Jacuípe,15,2922730
Nova Ibiá,2007,2,Médio Rio de Contas,22,2922755
Nova Itarana,2007,3,Vale do Jiquiriçá,9,2922805
Nova Redenção,2007,2,Chapada Diamantina,3,2922854
Nova Soure,2007,4,Semiárido Nordeste II,17,2922904
Nova Viçosa,2007,10,Extremo Sul,7,2923001
Novo Horizonte,2007,3,Chapada Diamantina,3,2923035
Novo Triunfo,2007,3,Semiárido Nordeste II,17,2923050
Olindina,2007,5,Litoral Norte e Agreste Baiano,18,2923100
Oliveira dos Brejinhos,2007,5,Velho Chico,2,2923209
Ouriçangas,2007,2,Litoral Norte e Agreste Baiano,18,2923308
Ourolândia,2007,4,Piemonte da Diamantina,16,2923357
Palmas de Monte Alto,2007,0,Sertão Produtivo,13,2923407
Palmeiras,2007,2,Chapada Diamantina,3,2923506
Paramirim,2007,3,Bacia do Paramirim,12,2923605
Paratinga,2007,3,Velho Chico,2,2923704
Paripiranga,2007,0,Semiárido Nordeste II,17,2923803
Pau-Brasil,2007,4,Litoral Sul,5,2923902
Paulo Afonso,2007,16,Itaparica,24,2924009
Pé de Serra,2007,3,Bacia do Jacuípe,15,2924058
Pedrão,2007,3,Litoral Norte e Agreste Baiano,18,2924108
Pedro Alexandre,2007,4,Semiárido Nordeste II,17,2924207
Piatã,2007,4,Chapada Diamantina,3,2924306
Pilão Arcado,2007,0,Sertão do São Francisco,10,2924405
Pindaí,2007,4,Sertão Produtivo,13,2924504
Pindobaçu,2007,2,Piemonte Norte do Itapicuru,25,2924603
Pintadas,2007,4,Bacia do Jacuípe,15,2924652
Piraí do Norte,2007,2,Baixo Sul,6,2924678
Piripá,2007,2,Sudoeste Baiano,20,2924702
Piritiba,2007,4,Piemonte do Paraguaçu,14,2924801
Planaltino,2007,3,Vale do Jiquiriçá,9,2924900
Planalto,2007,4,Sudoeste Baiano,20,2925006
Poções,2007,4,Sudoeste Baiano,20,2925105
Pojuca,2007,7,Metropolitano de Salvador,26,2925204
Ponto Novo,2007,3,Piemonte Norte do Itapicuru,25,2925253
Porto Seguro,2007,30,Costa do Descobrimento,27,2925303
Potiraguá,2007,4,Médio Sudoeste da Bahia,8,2925402
Prado,2007,11,Extremo Sul,7,2925501
Presidente Dutra,2007,1,Irecê,1,2925600
Presidente Jânio Quadros,2007,5,Sudoeste Baiano,20,2925709
Presidente Tancredo Neves,2007,5,Baixo Sul,6,2925758
Queimadas,2007,4,Sisal,4,2925808
Quijingue,2007,7,Sisal,4,2925907
Quixabeira,2007,2,Bacia do Jacuípe,15,2925931
Rafael Jambeiro,2007,6,Piemonte do Paraguaçu,14,2925956
Remanso,2007,8,Sertão do São Francisco,10,2926004
Retirolândia,2007,4,Sisal,4,2926103
Riachão das Neves,2007,3,Bacia do Rio Grande,11,2926202
Riachão do Jacuípe,2007,8,Bacia do Jacuípe,15,2926301
Riacho de Santana,2007,2,Velho Chico,2,2926400
Ribeira do Amparo,2007,6,Semiárido Nordeste II,17,2926509
Ribeira do Pombal,2007,11,Semiárido Nordeste II,17,2926608
Ribeirão do Largo,2007,2,Sudoeste Baiano,20,2926657
Rio de Contas,2007,4,Chapada Diamantina,3,2926707
Rio do Antônio,2007,5,Sertão Produtivo,13,2926806
Rio do Pires,2007,4,Bacia do Paramirim,12,2926905
Rio Real,2007,9,Litoral Norte e Agreste Baiano,18,2927002
Rodelas,2007,3,Itaparica,24,2927101
Ruy Barbosa,2007,5,Piemonte do Paraguaçu,14,2927200
Salinas da Margarida,2007,3,Recôncavo,21,2927309
Salvador,2007,115,Metropolitano de Salvador,26,2927408
Santa Bárbara,2007,6,Portal do Sertão,19,2927507
Santa Brígida,2007,5,Semiárido Nordeste II,17,2927606
Santa Cruz Cabrália,2007,9,Costa do Descobrimento,27,2927705
Santa Cruz da Vitória,2007,2,Médio Sudoeste da Bahia,8,2927804
Santa Inês,2007,5,Vale do Jiquiriçá,9,2927903
Santa Luzia,2007,5,Litoral Sul,5,2928059
Santa Maria da Vitória,2007,8,Bacia do Rio Corrente,23,2928109
Santa Rita de Cássia,2007,5,Bacia do Rio Grande,11,2928406
Santa Terezinha,2007,4,Piemonte do Paraguaçu,14,2928505
Santaluz,2007,4,Sisal,4,2928000
Santana,2007,5,Bacia do Rio Corrente,23,2928208
Santanópolis,2007,2,Portal do Sertão,19,2928307
Santo Amaro,2007,6,Recôncavo,21,2928604
Santo Antônio de Jesus,2007,20,Recôncavo,21,2928703
Santo Estevão,2007,9,Portal do Sertão,19,2928802
São Desidério,2007,3,Bacia do Rio Grande,11,2928901
São Domingos,2007,3,Sisal,4,2928950
São Felipe,2007,5,Recôncavo,21,2929107
São Félix,2007,6,Recôncavo,21,2929008
São Félix do Coribe,2007,1,Bacia do Rio Corrente,23,2929057
São Francisco do Conde,2007,10,Metropolitano de Salvador,26,2929206
São Gabriel,2007,5,Irecê,1,2929255
São Gonçalo dos Campos,2007,7,Portal do Sertão,19,2929305
São José da Vitória,2007,2,Litoral Sul,5,2929354
São José do Jacuípe,2007,3,Bacia do Jacuípe,15,2929370
São Miguel das Matas,2007,3,Vale do Jiquiriçá,9,2929404
São Sebastião do Passé,2007,11,Metropolitano de Salvador,26,2929503
Sapeaçu,2007,7,Recôncavo,21,2929602
Sátiro Dias,2007,5,Litoral Norte e Agreste Baiano,18,2929701
Saubara,2007,0,Recôncavo,21,2929750
Saúde,2007,2,Piemonte da Diamantina,16,2929800
Seabra,2007,3,Chapada Diamantina,3,2929909
Sebastião Laranjeiras,2007,3,Sertão Produtivo,13,2930006
Senhor do Bonfim,2007,7,Piemonte Norte do Itapicuru,25,2930105
Sento Sé,2007,0,Sertão do São Francisco,10,2930204
Serra do Ramalho,2007,3,Velho Chico,2,2930154
Serra Dourada,2007,5,Bacia do Rio Corrente,23,2930303
Serra Preta,2007,6,Bacia do Jacuípe,15,2930402
Serrinha,2007,10,Sisal,4,2930501
Serrolândia,2007,0,Piemonte da Diamantina,16,2930600
Simões Filho,2007,11,Metropolitano de Salvador,26,2930709
Sítio do Mato,2007,3,Velho Chico,2,2930758
Sítio do Quinto,2007,4,Semiárido Nordeste II,17,2930766
Sobradinho,2007,2,Sertão do São Francisco,10,2930774
Souto Soares,2007,2,Chapada Diamantina,3,2930808
Tabocas do Brejo Velho,2007,5,Bacia do Rio Corrente,23,2930907
Tanhaçu,2007,7,Sertão Produtivo,13,2931004
Tanque Novo,2007,4,Sertão Produtivo,13,2931053
Tanquinho,2007,2,Portal do Sertão,19,2931103
Taperoá,2007,3,Baixo Sul,6,2931202
Tapiramutá,2007,4,Piemonte do Paraguaçu,14,2931301
Teixeira de Freitas,2007,34,Extremo Sul,7,2931350
Teodoro Sampaio,2007,4,Portal do Sertão,19,2931400
Teofilândia,2007,2,Sisal,4,2931509
Teolândia,2007,4,Baixo Sul,6,2931608
Terra Nova,2007,3,Portal do Sertão,19,2931707
Tremedal,2007,1,Sudoeste Baiano,20,2931806
Tucano,2007,12,Sisal,4,2931905
Uauá,2007,5,Sertão do São Francisco,10,2932002
Ubaíra,2007,3,Vale do Jiquiriçá,9,2932101
Ubaitaba,2007,5,Litoral Sul,5,2932200
Ubatã,2007,1,Médio Rio de Contas,22,2932309
Uibaí,2007,3,Irecê,1,2932408
Umburanas,2007,4,Piemonte da Diamantina,16,2932457
Una,2007,4,Litoral Sul,5,2932507
Urandi,2007,1,Sertão Produtivo,13,2932606
Uruçuca,2007,5,Litoral Sul,5,2932705
Utinga,2007,6,Chapada Diamantina,3,2932804
Valença,2007,10,Baixo Sul,6,2932903
Valente,2007,2,Sisal,4,2933000
Várzea da Roça,2007,1,Bacia do Jacuípe,15,2933059
Várzea do Poço,2007,0,Bacia do Jacuípe,15,2933109
Várzea Nova,2007,2,Piemonte da Diamantina,16,2933158
Varzedo,2007,3,Recôncavo,21,2933174
Vera Cruz,2007,10,Metropolitano de Salvador,26,2933208
Vereda,2007,2,Extremo Sul,7,2933257
Vitória da Conquista,2007,37,Sudoeste Baiano,20,2933307
Wagner,2007,3,Chapada Diamantina,3,2933406
Wanderley,2007,1,Bacia do Rio Grande,11,2933455
Wenceslau Guimarães,2007,10,Baixo Sul,6,2933505
Xique-Xique,2007,7,Irecê,1,2933604
Abaíra,2008,4,Chapada Diamantina,3,2900108
Abaré,2008,7,Itaparica,24,2900207
Acajutiba,2008,3,Litoral Norte e Agreste Baiano,18,2900306
Adustina,2008,4,Semiárido Nordeste II,17,2900355
Água Fria,2008,6,Portal do Sertão,19,2900405
Aiquara,2008,2,Médio Rio de Contas,22,2900603
Alagoinhas,2008,17,Litoral Norte e Agreste Baiano,18,2900702
Alcobaça,2008,9,Extremo Sul,7,2900801
Almadina,2008,2,Litoral Sul,5,2900900
Amargosa,2008,8,Vale do Jiquiriçá,9,2901007
Amélia Rodrigues,2008,6,Portal do Sertão,19,2901106
América Dourada,2008,5,Irecê,1,2901155
Anagé,2008,7,Sudoeste Baiano,20,2901205
Andaraí,2008,4,Chapada Diamantina,3,2901304
Andorinha,2008,4,Piemonte Norte do Itapicuru,25,2901353
Angical,2008,2,Bacia do Rio Grande,11,2901403
Anguera,2008,2,Portal do Sertão,19,2901502
Antas,2008,4,Semiárido Nordeste II,17,2901601
Antônio Cardoso,2008,4,Portal do Sertão,19,2901700
Antônio Gonçalves,2008,1,Piemonte Norte do Itapicuru,25,2901809
Aporá,2008,7,Litoral Norte e Agreste Baiano,18,2901908
Apuarema,2008,2,Médio Rio de Contas,22,2901957
Araçás,2008,1,Litoral Norte e Agreste Baiano,18,2902054
Aracatu,2008,5,Sudoeste Baiano,20,2902005
Araci,2008,9,Sisal,4,2902104
Aramari,2008,4,Litoral Norte e Agreste Baiano,18,2902203
Arataca,2008,4,Litoral Sul,5,2902252
Aratuípe,2008,4,Baixo Sul,6,2902302
Aurelino Leal,2008,4,Litoral Sul,5,2902401
Baianópolis,2008,4,Bacia do Rio Grande,11,2902500
Baixa Grande,2008,5,Bacia do Jacuípe,15,2902609
Banzaê,2008,6,Semiárido Nordeste II,17,2902658
Barra,2008,5,Velho Chico,2,2902708
Barra da Estiva,2008,6,Chapada Diamantina,3,2902807
Barra do Choça,2008,12,Sudoeste Baiano,20,2902906
Barra do Mendes,2008,2,Irecê,1,2903003
Barra do Rocha,2008,2,Médio Rio de Contas,22,2903102
Barreiras,2008,11,Bacia do Rio Grande,11,2903201
Barro Alto,2008,4,Irecê,1,2903235
Barro Preto,2008,3,Litoral Sul,5,2903300
Barrocas,2008,4,Sisal,4,2903276
Belmonte,2008,8,Costa do Descobrimento,27,2903409
Belo Campo,2008,6,Sudoeste Baiano,20,2903508
Biritinga,2008,5,Sisal,4,2903607
Boa Nova,2008,5,Médio Rio de Contas,22,2903706
Boa Vista do Tupim,2008,8,Piemonte do Paraguaçu,14,2903805
Bom Jesus da Lapa,2008,13,Velho Chico,2,2903904
Bom Jesus da Serra,2008,1,Sudoeste Baiano,20,2903953
Boninal,2008,4,Chapada Diamantina,3,2904001
Bonito,2008,6,Chapada Diamantina,3,2904050
Boquira,2008,5,Bacia do Paramirim,12,2904100
Botuporã,2008,2,Bacia do Paramirim,12,2904209
Brejões,2008,3,Vale do Jiquiriçá,9,2904308
Brejolândia,2008,2,Bacia do Rio Corrente,23,2904407
Brotas de Macaúbas,2008,1,Velho Chico,2,2904506
Brumado,2008,12,Sertão Produtivo,13,2904605
Buerarema,2008,5,Litoral Sul,5,2904704
Buritirama,2008,0,Bacia do Rio Grande,11,2904753
Caatiba,2008,4,Médio Sudoeste da Bahia,8,2904803
Cabaceiras do Paraguaçu,2008,4,Recôncavo,21,2904852
Cachoeira,2008,12,Recôncavo,21,2904902
Caculé,2008,7,Sertão Produtivo,13,2905008
Caém,2008,2,Piemonte da Diamantina,16,2905107
Caetanos,2008,2,Sudoeste Baiano,20,2905156
Caetité,2008,3,Sertão Produtivo,13,2905206
Cafarnaum,2008,2,Irecê,1,2905305
Cairu,2008,4,Baixo Sul,6,2905404
Caldeirão Grande,2008,2,Piemonte Norte do Itapicuru,25,2905503
Camacan,2008,11,Litoral Sul,5,2905602
